timestamp,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,291,812
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,291,812
2,0.7195009589195251,0.6345402002334595,0.0,0.0,0.9593346108623597,48.59037801602766,0.0,159,866
3,-0.869396984577179,0.4055512249469757,0.0,0.0,0.959334619852679,-64.99216476782324,0.0,159,866
4,-1.0220184326171875,0.37935712933540344,0.0,0.0,1.090152974672312,-69.63586812203778,0.0,196,841
5,0.7494801878929138,0.7916520833969116,0.0,0.0,1.0901530044863739,43.4325364126238,0.0,196,841
6,1.1405725479125977,0.2920325994491577,0.0,0.0,1.1773651838715409,75.63849363188925,0.0,185,812
7,0.0,1.8750630617141724,0.0,0.0,1.8750630617141724,0.0,0.0,162,834
8,-3.337230682373047,0.8544659614562988,0.0,0.0,3.4448832645910525,-75.63848985122301,0.0,228,875
9,-5.845945358276367,2.1699228286743164,0.0,0.0,6.23567496060811,-69.63586745707221,0.0,208,751
10,4.750341415405273,5.461850643157959,0.0,0.0,7.238615614264898,41.014498858107864,0.0,200,692
