timestamp,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,282,821
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,282,821
2,0.6895217299461365,0.6669952869415283,0.0,0.0,0.9593346282033837,45.951371451331106,0.0,170,853
3,-0.869396984577179,0.4055512249469757,0.0,0.0,0.959334619852679,-64.99216476782324,0.0,170,853
4,-1.0220184326171875,0.37935712933540344,0.0,0.0,1.090152974672312,-69.63586812203778,0.0,196,850
5,0.7494801878929138,0.7916520833969116,0.0,0.0,1.0901530044863739,43.4325364126238,0.0,196,850
6,1.1405725479125977,0.2920325994491577,0.0,0.0,1.1773651838715409,75.63849363188925,0.0,175,830
7,-0.058595720678567886,1.8741472959518433,0.0,0.0,1.875063077713773,-1.7907846460897747,0.0,151,846
8,-3.337230682373047,0.8544659614562988,0.0,0.0,3.4448832645910525,-75.63848985122301,0.0,228,867
9,3.352220296859741,1.2442916631698608,0.0,0.0,3.5757017020037383,69.63586302760206,0.0,162,863
10,2.123072862625122,2.8771867752075195,0.0,0.0,3.575701626176921,36.42357412369959,0.0,162,863
11,-5.845945358276367,2.1699228286743164,0.0,0.0,6.23567496060811,-69.63586745707221,0.0,204,753
12,4.524134635925293,5.650642395019531,0.0,0.0,7.238615453273571,38.68218727085836,0.0,164,704
