timestamp,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,267,838
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,267,838
2,0.3883669972419739,0.5263146758079529,0.0,0.0,0.6540917844749145,36.4235737068115,0.0,177,892
3,0.6132110357284546,0.2276143580675125,0.0,0.0,0.6540917904527237,69.63586078730246,0.0,177,892
4,0.22893211245536804,1.02120041847229,0.0,0.0,1.0465468010563395,12.635625091990569,0.0,155,840
5,0.8176146745681763,0.6532737016677856,0.0,0.0,1.0465468385886776,51.37516340736086,0.0,155,840
6,-7.054652214050293,1.8062773942947388,0.0,0.0,7.2822219058708235,-75.63848036306388,0.0,256,641
7,5.006527423858643,5.288235664367676,0.0,0.0,7.28222172744959,43.43253645830298,0.0,256,641
8,-0.253460556268692,0.06489618867635727,0.0,0.36217713356018066,0.2616367116609444,-75.63848132549572,0.0,387,683
9,-0.25754863023757935,0.16383495926856995,0.0,0.7243542671203613,0.30524283909010436,-57.538249767183316,0.0,355,647
