timestamp,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,318,787
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,318,787
2,-0.9484330415725708,0.44241952896118164,0.0,0.0,1.0465468331387906,-64.99216347768541,0.0,213,810
3,0.16352294385433197,1.033692717552185,0.0,0.0,1.0465468873811667,8.989298950865141,0.0,213,810
4,-1.2250593900680542,0.3136647343635559,0.0,0.0,1.2645774293325311,-75.63848951030299,0.0,158,824
5,-3.270458698272705,1.213943362236023,0.0,0.0,3.4884894415526753,-69.63585804331352,0.0,277,871
6,-5.690598011016846,2.654517412185669,0.0,0.0,6.279280883555519,-64.99216058650464,0.0,218,747
7,-7.054652214050293,1.8062773942947388,0.0,0.0,7.2822219058708235,-75.63848036306388,0.0,193,690
8,0.07767339795827866,0.10526293516159058,0.0,-0.9658056497573853,0.13081835601022646,36.42357318166456,0.0,346,672
9,-0.06132110208272934,0.11555588990449905,0.0,-0.9658056497573853,0.13081835212332105,-27.953186679765896,0.0,346,672
