timestamp,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,156,949
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,156,949
2,-0.14717064797878265,0.21632051467895508,0.0,0.0,0.2616367036511941,-34.228866943002885,0.0,185,900
3,-0.24528440833091736,0.09104573726654053,0.0,0.0,0.26163670851899995,-69.63586155678479,0.0,185,900
4,0.7249517440795898,0.9824540615081787,0.0,0.0,1.2209713404572424,36.42357430697944,0.0,249,785
5,-0.6104856729507446,1.0573922395706177,0.0,0.0,1.2209713777080484,-29.99999917254603,0.0,249,785
6,0.0,1.8750630617141724,0.0,0.0,1.8750630617141724,0.0,0.0,174,808
7,1.4062973260879517,7.367232322692871,0.0,0.0,7.500252280149829,10.806923070436673,0.0,215,623
8,-6.328337669372559,4.025658130645752,0.0,0.0,7.500252065259804,-57.53825494635195,0.0,215,623
