timestamp,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,284,821
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,284,821
2,0.5178226232528687,0.7017529010772705,0.0,0.0,0.8721223557063812,36.42357160622368,0.0,153,849
3,-0.9811376333236694,0.3641829490661621,0.0,0.0,1.0465468340759998,-69.63586155678479,0.0,176,857
4,-5.690598011016846,2.654517412185669,0.0,0.0,6.279280883555519,-64.99216058650464,0.0,235,727
5,-7.054652214050293,1.8062773942947388,0.0,0.0,7.2822219058708235,-75.63848036306388,0.0,169,647
6,1.1719144582748413,7.408130645751953,0.0,0.0,7.5002522065623145,8.989299749873487,0.0,157,616
7,5.625189304351807,4.9609503746032715,0.0,0.0,7.500252217697103,48.59037957562302,0.0,157,616
