timestamp,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,316,789
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,316,789
2,-0.801262378692627,0.4433251619338989,0.0,0.0,0.9157284524966364,-61.04497346953018,0.0,169,757
3,0.17169907689094543,0.8994876742362976,0.0,0.0,0.9157284800137138,10.806922052021589,0.0,169,757
4,-0.9484330415725708,0.44241952896118164,0.0,0.0,1.0465468331387906,-64.99216347768541,0.0,228,791
5,-3.270458698272705,1.213943362236023,0.0,0.0,3.4884894415526753,-69.63585804331352,0.0,264,872
6,-5.690598011016846,2.654517412185669,0.0,0.0,6.279280883555519,-64.99216058650464,0.0,231,730
7,-7.054652214050293,1.8062773942947388,0.0,0.0,7.2822219058708235,-75.63848036306388,0.0,217,679
8,0.9375315308570862,7.441425800323486,0.0,0.0,7.500252216630536,7.180755818754539,0.0,152,615
9,5.390806198120117,5.214690208435059,0.0,0.0,7.5002523581302745,45.951372353602345,0.0,152,615
10,0.11446605622768402,0.13161085546016693,0.0,-0.36217713356018066,0.17442446876306167,41.01449910395507,0.0,263,697
