timestamp,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,265,840
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,265,840
2,0.4088073670864105,0.510600209236145,0.0,0.0,0.654091765011698,38.6821890635161,0.0,171,903
3,0.22893211245536804,1.02120041847229,0.0,0.0,1.0465468010563395,12.635625091990569,0.0,184,784
4,0.8176146745681763,0.6532737016677856,0.0,0.0,1.0465468385886776,51.37516340736086,0.0,184,784
5,-0.058595720678567886,1.8741472959518433,0.0,0.0,1.875063077713773,-1.7907846460897747,0.0,176,786
6,1.4062973260879517,7.367232322692871,0.0,0.0,7.500252280149829,10.806923070436673,0.0,182,594
7,5.859571933746338,4.6817946434021,0.0,0.0,7.500252284405931,51.37516518540284,0.0,182,594
