timestamp,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,273,832
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,273,832
2,0.5178226232528687,0.7017529010772705,0.0,0.0,0.8721223557063812,36.42357160622368,0.0,162,829
3,-1.2250593900680542,0.3136647343635559,0.0,0.0,1.2645774293325311,-75.63848951030299,0.0,167,832
4,-3.270458698272705,1.213943362236023,0.0,0.0,3.4884894415526753,-69.63585804331352,0.0,299,869
5,-5.690598011016846,2.654517412185669,0.0,0.0,6.279280883555519,-64.99216058650464,0.0,215,749
6,-7.054652214050293,1.8062773942947388,0.0,0.0,7.2822219058708235,-75.63848036306388,0.0,213,674
7,0.9375315308570862,7.441425800323486,0.0,0.0,7.500252216630536,7.180755818754539,0.0,178,614
8,5.625189304351807,4.9609503746032715,0.0,0.0,7.500252217697103,48.59037957562302,0.0,178,614
