timestamp,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,247,858
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,247,858
2,3.463961124420166,0.8869139552116394,0.0,0.0,3.5757017542635423,75.6384917521142,0.0,212,853
3,-5.690598011016846,2.654517412185669,0.0,0.0,6.279280883555519,-64.99216058650464,0.0,289,691
4,-7.054652214050293,1.8062773942947388,0.0,0.0,7.2822219058708235,-75.63848036306388,0.0,158,636
5,0.06540917605161667,0.2533286511898041,0.0,-0.8450799584388733,0.2616367058067289,14.477512111989377,0.0,281,625
6,0.21257981657981873,0.15252405405044556,0.0,-0.8450799584388733,0.26163670514874743,54.34090997924301,0.0,281,625
7,0.43606117367744446,0.5446402430534363,0.0,-0.12072570621967316,0.6976978870128937,38.6821868974636,0.0,245,849
